iteration,t,algo,divided,critical_nodes
25,0,FFD,True,0.0
25,0,KMeans,True,1.0
25,1800,none,False,0.0
25,1800,RND,True,0.0
25,1800,MIRW,True,0.0
25,1800,FFD,True,0.0
25,1800,KMeans,True,0.0
25,10,none,False,0.0
25,10,RND,True,0.0
25,10,MIRW,True,0.0
25,10,FFD,True,0.0
25,10,KMeans,True,0.0
26,0,none,False,0.0
26,0,RND,True,0.0
26,0,MIRW,True,0.0
26,0,FFD,True,0.0
26,0,KMeans,True,1.0
26,1800,none,False,0.0
26,1800,RND,True,0.0
26,1800,MIRW,True,0.0
26,1800,FFD,True,0.0
26,1800,KMeans,True,0.0
26,10,none,False,0.0
26,10,RND,True,0.0
26,10,MIRW,True,0.0
26,10,FFD,True,0.0
26,10,KMeans,True,0.0
27,0,none,False,0.0
27,0,RND,True,0.0
27,0,MIRW,True,0.0
27,0,FFD,True,0.0
27,0,KMeans,True,1.0
27,1800,none,False,0.0
27,1800,RND,True,0.0
27,1800,MIRW,True,0.0
27,1800,FFD,True,0.0
27,1800,KMeans,True,0.0
27,10,none,False,0.0
27,10,RND,True,0.0
27,10,MIRW,True,0.0
27,10,FFD,True,0.0
27,10,KMeans,True,0.0
28,0,none,False,0.0
28,0,RND,True,0.0
28,0,MIRW,True,0.0
28,0,FFD,True,0.0
28,0,KMeans,True,1.0
28,1800,none,False,0.0
28,1800,RND,True,0.0
28,1800,MIRW,True,0.0
28,1800,FFD,True,0.0
28,1800,KMeans,True,0.0
28,10,none,False,0.0
28,10,RND,True,0.0
28,10,MIRW,True,0.0
28,10,FFD,True,0.0
28,10,KMeans,True,0.0
29,0,none,False,0.0
29,0,RND,True,0.0
29,0,MIRW,True,0.0
29,0,FFD,True,0.0
29,0,KMeans,True,1.0
29,1800,none,False,0.0
29,1800,RND,True,0.0
29,1800,MIRW,True,0.0
29,1800,FFD,True,0.0
29,1800,KMeans,True,0.0
29,10,none,False,0.0
29,10,RND,True,0.0
29,10,MIRW,True,0.0
29,10,FFD,True,0.0
29,10,KMeans,True,0.0
